,0,1,2
0,8302,4167,4135
1,7557,3790,3767
2,7194,3605,3589
3,6955,3500,3455
4,6777,3418,3359
5,6627,3347,3280
6,6587,3332,3255
7,6533,3304,3229
8,6501,3282,3219
9,6462,3259,3203
10,6439,3244,3195
11,6405,3239,3166
12,6378,3224,3154
13,6407,3230,3177
14,6427,3245,3182
15,6397,3233,3164
16,6398,3233,3165
17,6422,3248,3174
18,6470,3272,3198
19,6468,3276,3192
20,6474,3295,3179
21,6475,3305,3170
22,6478,3296,3182
23,6520,3331,3189
24,6534,3346,3188
25,6537,3354,3183
26,6515,3345,3170
27,6531,3350,3181
28,6512,3349,3163
29,6524,3352,3172
30,6557,3343,3214
31,6552,3327,3225
32,6541,3318,3223
33,6590,3339,3251
34,6640,3368,3272
35,6676,3391,3285
36,6738,3402,3336
37,6790,3414,3376
38,6847,3450,3397
39,6900,3483,3417
40,6963,3506,3457
41,7038,3560,3478
42,7136,3627,3509
43,7214,3658,3556
44,7278,3697,3581
45,7352,3737,3615
46,7445,3780,3665
47,7515,3801,3714
48,7596,3857,3739
49,7666,3876,3790
50,7791,3946,3845
51,7823,3961,3862
52,7888,4003,3885
53,7949,4040,3909
54,8032,4068,3964
55,8100,4105,3995
56,8166,4135,4031
57,8224,4169,4055
58,8283,4199,4084
59,8307,4221,4086
60,8320,4224,4096
61,8369,4234,4135
62,8427,4258,4169
63,8489,4292,4197
64,8560,4325,4235
65,8623,4356,4267
66,8669,4391,4278
67,8761,4446,4315
68,8876,4500,4376
69,8967,4533,4434
70,9057,4569,4488
71,9144,4614,4530
72,9220,4649,4571
73,9361,4729,4632
74,9479,4778,4701
75,9582,4829,4753
76,9708,4876,4832
77,9775,4911,4864
78,9854,4956,4898
79,9952,5014,4938
80,10029,5050,4979
81,10140,5110,5030
82,10226,5162,5064
83,10328,5212,5116
84,10411,5253,5158
85,10452,5283,5169
86,10548,5341,5207
87,10634,5375,5259
88,10749,5434,5315
89,10801,5456,5345
90,10877,5484,5393
91,10974,5539,5435
92,11086,5610,5476
93,11156,5653,5503
94,11204,5672,5532
95,11315,5726,5589
96,11397,5778,5619
97,11494,5820,5674
98,11545,5841,5704
99,11674,5905,5769
