,0,1,2
0,8350,4186,4164
1,7650,3845,3805
2,7256,3653,3603
3,7013,3499,3514
4,6869,3422,3447
5,6777,3365,3412
6,6676,3317,3359
7,6645,3309,3336
8,6615,3303,3312
9,6600,3294,3306
10,6590,3288,3302
11,6618,3321,3297
12,6626,3343,3283
13,6622,3336,3286
14,6663,3353,3310
15,6695,3375,3320
16,6682,3368,3314
17,6696,3363,3333
18,6748,3386,3362
19,6760,3388,3372
20,6771,3385,3386
21,6784,3398,3386
22,6802,3412,3390
23,6806,3416,3390
24,6837,3428,3409
25,6876,3445,3431
26,6907,3472,3435
27,6935,3480,3455
28,6929,3465,3464
29,6950,3490,3460
30,6981,3509,3472
31,6999,3519,3480
32,7035,3538,3497
33,7072,3565,3507
34,7099,3573,3526
35,7135,3591,3544
36,7183,3605,3578
37,7236,3627,3609
38,7315,3672,3643
39,7394,3715,3679
40,7457,3731,3726
41,7495,3748,3747
42,7597,3803,3794
43,7671,3852,3819
44,7760,3905,3855
45,7858,3936,3922
46,7961,3981,3980
47,8043,4016,4027
48,8107,4041,4066
49,8171,4069,4102
50,8262,4123,4139
51,8381,4196,4185
52,8440,4241,4199
53,8530,4269,4261
54,8622,4333,4289
55,8690,4342,4348
56,8773,4387,4386
57,8822,4398,4424
58,8880,4412,4468
59,8913,4423,4490
60,8961,4455,4506
61,9016,4489,4527
62,9105,4534,4571
63,9185,4583,4602
64,9256,4602,4654
65,9333,4622,4711
66,9385,4649,4736
67,9440,4656,4784
68,9542,4715,4827
69,9627,4738,4889
70,9716,4784,4932
71,9815,4829,4986
72,9955,4905,5050
73,10027,4924,5103
74,10143,4990,5153
75,10245,5037,5208
76,10366,5110,5256
77,10482,5170,5312
78,10633,5256,5377
79,10735,5300,5435
80,10832,5337,5495
81,10931,5376,5555
82,11041,5427,5614
83,11112,5478,5634
84,11220,5530,5690
85,11299,5576,5723
86,11356,5605,5751
87,11454,5644,5810
88,11508,5690,5818
89,11585,5744,5841
90,11717,5827,5890
91,11811,5871,5940
92,11890,5908,5982
93,11996,5943,6053
94,12099,6005,6094
95,12112,6000,6112
96,12225,6055,6170
97,12330,6130,6200
98,12498,6228,6270
99,12597,6300,6297
